"","HourEnding","Location2","Underpass.type","average.effort","hourly.traffic","hourly.human","Agecentred","Total","Hour.sq"
"62",3,"Dead Man's","Jumpout",9.90909090909091,79.4122383252818,1,1.9793189889283,19,9
"63",3,"Dead Man's","Jumpout",11.5555555555556,79.4122383252818,1,1.9793189889283,1,9
"64",2,"Dead Man's","Jumpout",9.4,107.44925124792,1,1.9793189889283,74,4
"65",2,"Dead Man's","Jumpout",9.90909090909091,107.44925124792,1,1.9793189889283,24,4
"66",2,"Dead Man's","Jumpout",11.5555555555556,107.44925124792,1,1.9793189889283,1,4
"67",6,"Dead Man's","Jumpout",9.4,159.436731742589,1,1.9793189889283,47,36
"68",6,"Dead Man's","Jumpout",9.90909090909091,159.436731742589,1,1.9793189889283,66,36
"69",6,"Dead Man's","Jumpout",11.5555555555556,159.436731742589,1,1.9793189889283,2,36
"70",1,"Dead Man's","Jumpout",9.4,173.106164383562,1,1.9793189889283,83,1
"71",1,"Dead Man's","Jumpout",9.90909090909091,173.106164383562,1,1.9793189889283,22,1
"72",1,"Dead Man's","Jumpout",11.5555555555556,173.106164383562,1,1.9793189889283,2,1
"73",24,"Dead Man's","Jumpout",9.4,303.289193302892,1,1.9793189889283,117,576
"74",24,"Dead Man's","Jumpout",9.90909090909091,303.289193302892,1,1.9793189889283,23,576
"75",7,"Dead Man's","Jumpout",9.4,363.779220779221,1,1.9793189889283,25,49
"76",7,"Dead Man's","Jumpout",9.90909090909091,363.779220779221,1,1.9793189889283,41,49
"77",7,"Wind Valley","Underpass",10.5833333333333,363.779220779221,1,1.9793189889283,176,49
"78",7,"Dead Man's","Jumpout",11.5555555555556,363.779220779221,1,1.9793189889283,1,49
"79",8,"Wind Valley","Underpass",10.5833333333333,667.853634577603,1,1.9793189889283,89,64
"80",8,"Dead Man's","Jumpout",9.4,667.853634577603,1.1,1.9793189889283,19,64
"81",8,"Dead Man's","Jumpout",9.90909090909091,667.853634577603,1.1,1.9793189889283,27,64
"82",18,"Wind Valley","Underpass",10.5833333333333,1606.96284829721,1.13333333333333,1.9793189889283,13,324
"83",23,"Dead Man's","Jumpout",9.4,509.863970588235,1.14285714285714,1.9793189889283,87,529
"84",23,"Dead Man's","Jumpout",9.90909090909091,509.863970588235,1.14285714285714,1.9793189889283,25,529
"85",23,"Dead Man's","Jumpout",11.5555555555556,509.863970588235,1.14285714285714,1.9793189889283,3,529
"86",22,"Dead Man's","Jumpout",9.4,719.700673724735,1.14285714285714,1.9793189889283,60,484
"87",22,"Dead Man's","Jumpout",9.90909090909091,719.700673724735,1.14285714285714,1.9793189889283,35,484
"88",22,"Dead Man's","Jumpout",11.5555555555556,719.700673724735,1.14285714285714,1.9793189889283,2,484
"89",9,"Wind Valley","Underpass",10.5833333333333,976.041763341067,1.28571428571429,1.9793189889283,66,81
"90",19,"Wind Valley","Underpass",10.5833333333333,1282.12746386334,1.3,1.9793189889283,23,361
"91",21,"Dead Man's","Jumpout",9.4,885.491379310345,1.30769230769231,1.9793189889283,56,441
"92",21,"Dead Man's","Jumpout",9.90909090909091,885.491379310345,1.30769230769231,1.9793189889283,22,441
"93",17,"Wind Valley","Underpass",10.5833333333333,1739.3724137931,1.31818181818182,1.9793189889283,10,289
"94",17,"Dead Man's","Jumpout",9.4,1739.3724137931,1.375,1.9793189889283,20,289
"95",17,"Dead Man's","Jumpout",9.90909090909091,1739.3724137931,1.375,1.9793189889283,2,289
"96",10,"Wind Valley","Underpass",10.5833333333333,1209.6592039801,1.37777777777778,1.9793189889283,27,100
"97",20,"Dead Man's","Jumpout",9.4,1103.34282460137,1.38461538461538,1.9793189889283,30,400
"98",20,"Dead Man's","Jumpout",9.90909090909091,1103.34282460137,1.38461538461538,1.9793189889283,36,400
"99",20,"Dead Man's","Jumpout",11.5555555555556,1103.34282460137,1.38461538461538,1.9793189889283,1,400
"100",14,"Wind Valley","Underpass",10.5833333333333,1445.3359375,1.3953488372093,1.9793189889283,18,196
"101",16,"Wind Valley","Underpass",10.5833333333333,1628.75680272109,1.44827586206897,1.9793189889283,15,256
"102",21,"Wind Valley","Underpass",10.5833333333333,885.491379310345,1.5,1.9793189889283,114,441
"103",9,"Dead Man's","Jumpout",9.4,976.041763341067,1.5,1.9793189889283,16,81
"104",9,"Dead Man's","Jumpout",9.90909090909091,976.041763341067,1.5,1.9793189889283,1,81
"105",9,"Dead Man's","Jumpout",11.5555555555556,976.041763341067,1.5,1.9793189889283,3,81
"106",18,"Dead Man's","Jumpout",9.4,1606.96284829721,1.52173913043478,1.9793189889283,10,324
"107",18,"Dead Man's","Jumpout",9.90909090909091,1606.96284829721,1.52173913043478,1.9793189889283,1,324
"108",16,"Dead Man's","Jumpout",9.4,1628.75680272109,1.54385964912281,1.9793189889283,5,256
"109",16,"Dead Man's","Jumpout",9.90909090909091,1628.75680272109,1.54385964912281,1.9793189889283,5,256
"110",16,"Dead Man's","Jumpout",11.5555555555556,1628.75680272109,1.54385964912281,1.9793189889283,1,256
"111",20,"Wind Valley","Underpass",10.5833333333333,1103.34282460137,1.57142857142857,1.9793189889283,60,400
"112",14,"Dead Man's","Jumpout",9.4,1445.3359375,1.57391304347826,1.9793189889283,3,196
"113",14,"Dead Man's","Jumpout",9.90909090909091,1445.3359375,1.57391304347826,1.9793189889283,1,196
"114",14,"Dead Man's","Jumpout",11.5555555555556,1445.3359375,1.57391304347826,1.9793189889283,1,196
"115",15,"Wind Valley","Underpass",10.5833333333333,1469.29160530191,1.625,1.9793189889283,22,225
"116",19,"Dead Man's","Jumpout",9.4,1282.12746386334,1.64814814814815,1.9793189889283,19,361
"117",19,"Dead Man's","Jumpout",9.90909090909091,1282.12746386334,1.64814814814815,1.9793189889283,26,361
"118",19,"Dead Man's","Jumpout",11.5555555555556,1282.12746386334,1.64814814814815,1.9793189889283,3,361
"119",15,"Dead Man's","Jumpout",9.90909090909091,1469.29160530191,1.73913043478261,1.9793189889283,22,225
"120",13,"Dead Man's","Jumpout",9.4,1390.72808132147,1.775,1.9793189889283,3,169
"121",13,"Dead Man's","Jumpout",9.90909090909091,1390.72808132147,1.775,1.9793189889283,4,169
"122",13,"Dead Man's","Jumpout",11.5555555555556,1390.72808132147,1.775,1.9793189889283,1,169
"123",12,"Wind Valley","Underpass",10.5833333333333,1530.93138357705,1.82432432432432,1.9793189889283,9,144
"124",10,"Dead Man's","Jumpout",9.4,1209.6592039801,1.8433734939759,1.9793189889283,7,100
"125",10,"Dead Man's","Jumpout",9.90909090909091,1209.6592039801,1.8433734939759,1.9793189889283,14,100
"126",11,"Dead Man's","Jumpout",9.4,1393.5107102593,1.87209302325581,1.9793189889283,18,121
"127",11,"Dead Man's","Jumpout",9.90909090909091,1393.5107102593,1.87209302325581,1.9793189889283,5,121
"128",11,"Dead Man's","Jumpout",11.5555555555556,1393.5107102593,1.87209302325581,1.9793189889283,5,121
"129",12,"Dead Man's","Jumpout",9.4,1530.93138357705,1.90058479532164,1.9793189889283,11,144
"130",12,"Dead Man's","Jumpout",9.90909090909091,1530.93138357705,1.90058479532164,1.9793189889283,9,144
"131",11,"Wind Valley","Underpass",10.5833333333333,1393.5107102593,1.92592592592593,1.9793189889283,28,121
"132",13,"Wind Valley","Underpass",10.5833333333333,1390.72808132147,1.96296296296296,1.9793189889283,8,169
"133",22,"Wind Valley","Underpass",10.5833333333333,719.700673724735,2.33333333333333,1.9793189889283,174,484
