Taxon ID ,WMU or AMA,Year,Estimate
Mule Deer,410,2014,125
Mule Deer,314,2015,1300
Mule Deer,404,2015,725
Mule Deer,406,2015,1600
Mule Deer,408,2015,245
Mule Deer,410,2015,125
Mule Deer,314,2016,1204
Mule Deer,404,2016,773
Mule Deer,406,2016,1635
Mule Deer,408,2016,264
Mule Deer,410,2016,123
White-tailed Deer,314,2001,1835
White-tailed Deer,404,2001,310
White-tailed Deer,406,2001,1600
White-tailed Deer,408,2001,220
White-tailed Deer,410,2001,175
White-tailed Deer,314,2002,1760
White-tailed Deer,404,2002,310
White-tailed Deer,406,2002,1600
White-tailed Deer,408,2002,250
White-tailed Deer,410,2002,150
White-tailed Deer,314,2003,1800
White-tailed Deer,404,2003,310
White-tailed Deer,406,2003,1600
White-tailed Deer,408,2003,250
White-tailed Deer,410,2003,150
White-tailed Deer,314,2004,1570
White-tailed Deer,404,2004,310
White-tailed Deer,406,2004,1600
White-tailed Deer,408,2004,250
White-tailed Deer,410,2004,120
White-tailed Deer,314,2005,2360
White-tailed Deer,404,2005,310
White-tailed Deer,406,2005,1600
White-tailed Deer,408,2005,250
White-tailed Deer,410,2005,120
White-tailed Deer,314,2006,1970
White-tailed Deer,404,2006,400
White-tailed Deer,406,2006,1600
White-tailed Deer,408,2006,250
White-tailed Deer,410,2006,120
White-tailed Deer,314,2007,1700
White-tailed Deer,404,2007,400
White-tailed Deer,406,2007,1600
White-tailed Deer,408,2007,220
White-tailed Deer,410,2007,120
White-tailed Deer,314,2008,1700
White-tailed Deer,404,2008,400
White-tailed Deer,406,2008,1600
White-tailed Deer,408,2008,300
White-tailed Deer,410,2008,120
White-tailed Deer,314,2009,1630
White-tailed Deer,404,2009,400
White-tailed Deer,406,2009,1600
White-tailed Deer,408,2009,300
White-tailed Deer,410,2009,120
White-tailed Deer,314,2010,1500
White-tailed Deer,404,2010,400
White-tailed Deer,406,2010,1600
White-tailed Deer,408,2010,300
White-tailed Deer,410,2010,120
White-tailed Deer,314,2011,1320
White-tailed Deer,404,2011,400
White-tailed Deer,406,2011,1600
White-tailed Deer,408,2011,300
White-tailed Deer,410,2011,120
White-tailed Deer,314,2012,1320
White-tailed Deer,404,2012,400
White-tailed Deer,406,2012,1600
White-tailed Deer,408,2012,300
White-tailed Deer,410,2012,120
White-tailed Deer,314,2013,1320
White-tailed Deer,404,2013,400
White-tailed Deer,406,2013,1600
White-tailed Deer,408,2013,300
White-tailed Deer,410,2013,120
White-tailed Deer,314,2014,1320
White-tailed Deer,404,2014,400
White-tailed Deer,406,2014,1600
White-tailed Deer,408,2014,300
White-tailed Deer,410,2014,120
White-tailed Deer,314,2015,1350
White-tailed Deer,404,2015,400
White-tailed Deer,406,2015,1600
White-tailed Deer,408,2015,300
White-tailed Deer,410,2015,120
White-tailed Deer,314,2016,2772
White-tailed Deer,404,2016,438
White-tailed Deer,406,2016,1700
White-tailed Deer,408,2016,330
White-tailed Deer,410,2016,100
