"","Location","Year","Location2","Underpass.type","annual.effort","Agecentred","annual.traffic","annual.human","Total"
"55","Deadmans Northwest Jumpout",2015,"Dead Man's","Jumpout",13,109.235138094967,884.334589041096,193.272727272727,6
"56","Deadmans South Jumpout",2015,"Dead Man's","Jumpout",13,109.235138094967,884.334589041096,193.272727272727,59
"57","Deadmans Northeast Jumpout",2016,"Dead Man's","Jumpout",11,109.235138094967,930.911657559198,193.272727272727,28
"58","Deadmans Northwest Jumpout",2016,"Dead Man's","Jumpout",11,109.235138094967,930.911657559198,193.272727272727,9
"59","Deadmans South Jumpout",2016,"Dead Man's","Jumpout",11,109.235138094967,930.911657559198,193.272727272727,54
"60","Deadmans Northeast Jumpout",2017,"Dead Man's","Jumpout",11,109.235138094967,946.533736727937,193.272727272727,34
"61","Deadmans Northwest Jumpout",2017,"Dead Man's","Jumpout",11,109.235138094967,946.533736727937,193.272727272727,31
"62","Deadmans South Jumpout",2017,"Dead Man's","Jumpout",12,109.235138094967,946.533736727937,193.272727272727,65
"63","Deadmans Northeast Jumpout",2018,"Dead Man's","Jumpout",11,109.235138094967,950.874001996008,193.272727272727,30
"64","Deadmans Northwest Jumpout",2018,"Dead Man's","Jumpout",12,109.235138094967,950.874001996008,193.272727272727,71
"65","Deadmans South Jumpout",2018,"Dead Man's","Jumpout",12,109.235138094967,950.874001996008,193.272727272727,79
